measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,37,Kyrgyzstan,1,Male,22,All ages,515,Asthma,1,Number,1990,13570.914191557777,17479.424331113965,10768.176906097253
6,Incidence,37,Kyrgyzstan,2,Female,22,All ages,515,Asthma,1,Number,1990,12882.182332727012,16445.736249266738,10430.225408997638
6,Incidence,37,Kyrgyzstan,1,Male,22,All ages,515,Asthma,2,Percent,1990,0.001880957079031,0.0024142162623191,0.0015066219087743
6,Incidence,37,Kyrgyzstan,2,Female,22,All ages,515,Asthma,2,Percent,1990,0.001689877543926,0.0021305412759099,0.0013708799601207
6,Incidence,37,Kyrgyzstan,1,Male,22,All ages,515,Asthma,3,Rate,1990,621.80681567665,800.8911580881,493.38796916043003
6,Incidence,37,Kyrgyzstan,2,Female,22,All ages,515,Asthma,3,Rate,1990,564.6597965065,720.85969939417,457.18410164086004
6,Incidence,37,Kyrgyzstan,1,Male,22,All ages,515,Asthma,1,Number,2017,15172.239372608685,19733.77065983832,11973.101451716284
6,Incidence,37,Kyrgyzstan,2,Female,22,All ages,515,Asthma,1,Number,2017,14124.229794457891,17919.74242651419,11405.75666144771
6,Incidence,37,Kyrgyzstan,1,Male,22,All ages,515,Asthma,2,Percent,2017,0.0015866114323117,0.0020362165365349,0.0012440277084934
6,Incidence,37,Kyrgyzstan,2,Female,22,All ages,515,Asthma,2,Percent,2017,0.0013894666169213,0.001764039814867,0.0011072526713801
6,Incidence,37,Kyrgyzstan,1,Male,22,All ages,515,Asthma,3,Rate,2017,478.22287503512996,622.0005042412699,377.38733608858
6,Incidence,37,Kyrgyzstan,2,Female,22,All ages,515,Asthma,3,Rate,2017,434.08620758647,550.73537771979,350.53816922212997
6,Incidence,16,Philippines,1,Male,22,All ages,515,Asthma,1,Number,1990,448196.5734188677,568846.6361623018,362646.07803951786
6,Incidence,16,Philippines,2,Female,22,All ages,515,Asthma,1,Number,1990,365720.6244627467,449844.7524424214,304935.52302057174
6,Incidence,16,Philippines,1,Male,22,All ages,515,Asthma,2,Percent,1990,0.0023774911603727,0.0030454479597897,0.0018838268446506
6,Incidence,16,Philippines,2,Female,22,All ages,515,Asthma,2,Percent,1990,0.0019404162529482,0.0024132290233516,0.0015946669662211
6,Incidence,16,Philippines,1,Male,22,All ages,515,Asthma,3,Rate,1990,1411.86231858934,1791.92162163917,1142.3700289865901
6,Incidence,16,Philippines,2,Female,22,All ages,515,Asthma,3,Rate,1990,1169.80413454583,1438.8859039162398,975.375222886
6,Incidence,16,Philippines,1,Male,22,All ages,515,Asthma,1,Number,2017,464771.3772168095,566468.3051977947,385089.6848843808
6,Incidence,16,Philippines,2,Female,22,All ages,515,Asthma,1,Number,2017,372773.881975244,447899.8101180796,318917.40307450626
6,Incidence,16,Philippines,1,Male,22,All ages,515,Asthma,2,Percent,2017,0.0017982261307795,0.002224267783469,0.0014753448925645
6,Incidence,16,Philippines,2,Female,22,All ages,515,Asthma,2,Percent,2017,0.0014697111997801,0.0017883514673278,0.0012301954437713
6,Incidence,16,Philippines,1,Male,22,All ages,515,Asthma,3,Rate,2017,853.4319786147499,1040.17198611174,707.11723618406
6,Incidence,16,Philippines,2,Female,22,All ages,515,Asthma,3,Rate,2017,703.8007000564901,845.63918010009,602.1191462092299
6,Incidence,7,Democratic People's Republic of Korea,1,Male,22,All ages,515,Asthma,1,Number,1990,86769.91209742262,111211.89630015436,68610.0322282674
6,Incidence,7,Democratic People's Republic of Korea,2,Female,22,All ages,515,Asthma,1,Number,1990,74873.95636159081,91401.4164549023,62563.717512163465
